"PERIODE";"IAS_brut";"IAS_lissé";"Incidence_Sentinelles"
2010-10-09;1,4;2,6;4,1
2010-10-10;41,3;2,5;4,1
2010-10-11;3,3;2,4;4
2010-10-12;1,1;2,5;4
2010-10-13;4;2,6;4
2010-10-14;2,2;2,7;4
2010-10-15;3,8;2,8;4
2010-10-16;2,4;2,8;4
2010-10-17;133,9;2,8;4
2010-10-18;4,2;2,7;4,3
2010-10-19;2,8;2,6;4,3
2010-10-20;1,8;2,5;4,3
2010-10-21;2,4;2,4;4,3
2010-10-22;1,4;2,4;4,3
2010-10-23;1,7;2,5;4,3
2010-10-24;129,9;2,5;4,3
2010-10-25;4,2;2,5;3,6
2010-10-26;2;2,6;3,6
2010-10-27;6,1;2,6;3,6
2010-10-28;1,6;2,5;3,6
2010-10-29;1,4;2,3;3,6
2010-10-30;2,4;2,1;3,6
2010-10-31;31,1;2;3,6
2010-11-01;22,9;1,8;3,6
2010-11-02;1,1;1,7;3,6
2010-11-03;2;1,7;3,6
2010-11-04;2,1;1,7;3,6
2010-11-05;1,8;1,8;3,6
2010-11-06;0,5;1,9;3,6
2010-11-07;25,2;1,9;3,6
2010-11-08;4,7;2;2
2010-11-09;2,1;2;2
2010-11-10;1,5;1,9;2
2010-11-11;181,2;1,9;2
2010-11-12;1,2;1,7;2
2010-11-13;1,5;1,6;2
2010-11-14;0,1;1,6;2
2010-11-15;2,1;1,6;3,6
2010-11-16;1;1,7;3,6
2010-11-17;1;1,8;3,6
2010-11-18;2,4;2,1;3,6
2010-11-19;3;2,4;3,6
2010-11-20;3,7;2,8;3,6
2010-11-21;5;3,2;3,6
2010-11-22;4,1;3,5;6
2010-11-23;4;3,8;6
2010-11-24;5,9;3,9;6
2010-11-25;3,6;4,1;6
2010-11-26;1,5;4,3;6
2010-11-27;7,1;4,5;6
2010-11-28;0,9;4,7;6
2010-11-29;6,7;5;8,4
2010-11-30;5,6;5,4;8,4
2010-12-01;6,6;5,8;8,4
2010-12-02;3,9;6,2;8,4
2010-12-03;6;6,6;8,4
2010-12-04;7;7,1;8,4
2010-12-05;109,1;7,5;8,4
2010-12-06;9,2;8;12,6
2010-12-07;8,7;8,4;12,6
2010-12-08;11,5;8,9;12,6
2010-12-09;8,5;9,5;12,6
2010-12-10;6;10,3;12,6
2010-12-11;9;11,4;12,6
2010-12-12;25,8;12,7;12,6
2010-12-13;21,7;14,2;23,9
2010-12-14;10,4;16;23,9
2010-12-15;17,2;18;23,9
2010-12-16;40,1;20;23,9
2010-12-17;15;22;23,9
2010-12-18;11,2;23,7;23,9
2010-12-19;2926,7;25,5;23,9
2010-12-20;51,1;27,4;36,1
2010-12-21;21;30;36,1
2010-12-22;28,5;34,6;36,1
2010-12-23;29,4;42,6;36,1
2010-12-24;27,7;54,7;36,1
2010-12-25;7795;70,6;36,1
2010-12-26;26968,4;90,5;36,1
2010-12-27;161,4;113,1;51,9
2010-12-28;181;137,1;51,9
2010-12-29;107,3;164,3;51,9
2010-12-30;136,4;194,4;51,9
2010-12-31;125,1;227,2;51,9
2011-01-01;8508,4;263,2;51,9
2011-01-02;10059,7;299,1;51,9
2011-01-03;611,7;327,6;70
2011-01-04;429,8;346;70
2011-01-05;308,1;352,6;70
2011-01-06;382;346,9;70
2011-01-07;182,8;333,4;70
2011-01-08;197,2;316,5;70
2011-01-09;25022;298,3;70
2011-01-10;515,8;281,8;69,9
2011-01-11;270,4;270,8;69,9
2011-01-12;249;264,6;69,9
2011-01-13;232,2;259,8;69,9
2011-01-14;171,4;253;69,9
2011-01-15;114,4;243;69,9
2011-01-16;2027,9;231,8;69,9
2011-01-17;516,8;222,5;62,4
2011-01-18;269,3;219,8;62,4
2011-01-19;148,7;224,6;62,4
2011-01-20;176,3;233,7;62,4
2011-01-21;136,8;244,4;62,4
2011-01-22;102,4;254,3;62,4
2011-01-23;34643,6;262,7;62,4
2011-01-24;850,3;271,2;62,9
2011-01-25;301,7;281,1;62,9
2011-01-26;205,4;290;62,9
2011-01-27;291,8;296,1;62,9
2011-01-28;176,5;300,1;62,9
2011-01-29;127,2;302,7;62,9
2011-01-30;6343,3;305,7;62,9
2011-01-31;636,2;312,6;62,9
2011-02-01;315,9;321,4;62,9
2011-02-02;406,8;323,9;62,9
2011-02-03;347,6;315,3;62,9
2011-02-04;243,2;293,8;62,9
2011-02-05;114,4;261;62,9
2011-02-06;16486,4;223,1;62,9
2011-02-07;371,5;189,4;49
2011-02-08;183,6;163,8;49
2011-02-09;117,2;144,5;49
2011-02-10;116;130,2;49
2011-02-11;58,9;119;49
2011-02-12;36,3;108,4;49
2011-02-13;2739,4;97,6;49
2011-02-14;238,3;88,6;33,7
2011-02-15;76,8;81,9;33,7
2011-02-16;110,3;75,6;33,7
2011-02-17;57,6;68,4;33,7
2011-02-18;33,2;60,2;33,7
2011-02-19;15,3;51,1;33,7
